tconst,userRating
tt0076759,5.0
tt0080684,6.0
tt0086190,5.5
tt0119654,3.5
tt0120338,8.0
tt0120812,5.0
tt0120915,7.5
tt0137523,6.0
tt0172495,8.5
tt0266915,7.0
tt0120912,7.0
tt0121765,8.0
tt0121766,9.0
tt0293564,7.0
tt0371746,5.0
tt0468569,6.0
tt1041829,7.5
tt0499549,4.0
tt0892769,8.0
tt1228705,8.0
tt0800369,6.0
tt0458339,8.5
tt0848228,6.0
tt1232829,6.5
tt1409024,5.0
tt0816711,8.5
tt1981115,6.5
tt1300854,7.0
tt2802144,8.5
tt2015381,7.0
tt1843866,5.0
tt1646971,7.0
tt2395427,6.0
tt2488496,7.0
tt0478970,8.0
tt1431045,7.5
tt1211837,8.5
tt3498820,4.5
tt4649466,7.5
tt8430862,6.0
tt3896198,7.0
tt2250912,9.0
tt3501632,2.0
tt2527336,4.5
tt4154756,9.0
tt5164214,7.5
tt5463162,8.5
tt1825683,9.0
tt1677720,7.5
tt2704998,5.0
tt4633694,5.5
tt5095030,7.5
tt2527338,4.5
tt4154796,6.0
tt4154664,9.0
tt2283336,4.5
tt6320628,9.5
tt1618434,7.5
tt7286456,5.0
tt8946378,6.0
tt1298644,4.5
tt2386490,7.0
tt11032374,7.0
tt10872600,8.0
tt9376612,7.5
tt6856242,7.5
tt9032400,9.7
tt3480822,8.0
tt9114286,7.5
tt11564570,7.5
tt9419884,6.0
tt10648342,8.0
tt1630029,9.0
tt6791350,8.5
tt10954600,4.0
tt15255288,7.0
tt15671028,8.5
tt26047818,5.5
tt20215968,7.5
tt18412256,8.5
tt6263850,7.5
tt32820897,9.5
tt10676052,7.0
tt20969586,7.5
tt14513804,8.0
tt14205554,4.5
tt30144839,8.5
tt31193180,2.0
